SMALL_AREA,Clusters
48039008,6
48023007,6
47091003,5
48003002,5
48044002,5
47129004,5
47087001,1
47091004,3
47060009,6
47027004,4
47090009,5
47090006,5
47090010,7
47016005,5
47250007,2
47072017,5
48050003,6
48005001,5
47235027,4
47235007,5
47235021,3
48070005,6
47132015,4
47132019,4
48056002,7
48026002,6
48012001,6
47243015,4
47243010,5
47179002,2
47179007,5
47132050,3
47277007,3
47016043,5
47324006,4
47246002,5
47140007,3
047245004/02,6
48023010,3
48019001,5
48043017,6
48042012,6
48043011,6
47132006,5
47132079,4
47243006,5
47132074,4
47132055,4
47132051,7
48014002,7
47016045,3
48013003,2
47016056,5
47016039,3
47132054,4
47132053,5
47054020,5
47298015,6
47170005,3
47064006,4
47064007,6
47296003,5
47243011,5
47243008,4
47243012,5
047243002/047243004,6
48003004,5
47096019,5
47136004,5
47320002,3
48023004,2
48070009,5
48002005,5
48043001,5
48043010,6
48042018,4
47300004,5
47016012,2
47016014,4
48007001,4
48008014,5
47096018,6
47096008,5
47096003,4
47096012,5
47096016,5
48048004,5
47277019,6
48042006,5
47277024,2
48043018,3
47245009,3
47105002,3
47105006,6
47023006,2
47023005,2
47023001,5
47173006,3
47202001,3
47159003,5
47278005,5
47323033,5
47323002,5
47323014,2
47258010,5
47258022,6
47322002,3
47323032,2
47323006,5
47271016,2
47107023,4
47320006,2
47320007,2
48043004,5
48065001,7
48019004,5
47298011,2
47277002,6
047064014/047064016,3
47277006,4
47279016,4
47140003,3
47054002,3
47054001,1
47057001,1
47057003,5
47282001,2
47282002,2
47011002,2
47095003,3
47096009,4
47095005,2
47095004,4
47017003,2
47117005,5
47117001,5
47033009,2
47033003,2
47033011,2
47234001,1
47186003,5
47186008,5
47177002,3
47177006,4
47018002,1
47221014,4
47221011,2
47064013,4
47105011,4
47253006,4
47253015,5
47183003,4
47035002,4
47028001,2
47244003,2
47244002,2
47105003,1
47023004,4
047173001/02,3
47259003,5
47205004,1
47229003,1
47318002,3
47278006,3
47278007,3
47322001,5
47323030,5
47090014,5
47064003,2
47064004,2
47064020,5
47106013,3
47077006,5
47072040,5
47072042,5
47261003,2
47323009,3
47278009,1
47151015,6
47151008,3
47084002,3
47159004,3
47151013,3
47159005,1
47218001,2
47135004,2
47135005,5
47270002,2
47270007,3
47076005,2
47250010,2
47294003,5
47294001,5
47315001,1
47243007,5
47243013,2
47250009,4
47142004,3
47142003,2
47243014,3
47114004,1
47071007,2
47303002,2
047071004/01,2
47303006,2
47303009,2
47303013,5
47072002,2
47261001,2
47163003,5
047313007/047313008/047313009,5
47265003,2
47265001,1
47232003,5
47033007,5
47033005,6
47186004,3
47177008,4
47221020,4
47221009,5
47042006,5
47042014,5
47294007,5
47294008,3
47294012,5
47057004,5
47282004,5
47042015,5
47042012,5
47221010,4
47034001,5
47146003,6
47210002,3
047071004/02,3
47222006,5
47222010,5
47145005,5
47256001,1
47268001,1
47090013,2
47151003,3
47084003,4
47084004,2
47111002,1
47151016,2
47111004,1
47111003,2
47201002,1
47079003,2
47079002,2
47314002,1
47256002,1
47016030,2
47178007,4
47178001,2
47178019,2
47188007,2
47200007,5
047235024/01,4
47235017,3
47072016,2
047235026/02,4
47132018,2
47132047,4
47016013,2
47076006,2
47298002,2
47320010,3
47277013,3
47279002,2
47075004,4
47055002,5
47218003,5
47218004,3
47227003,5
47200010,5
47200003,5
47200006,1
47123003,1
48006002,4
47298004,2
47298003,2
47298001,3
47040003,5
47040001,5
47267005,5
47179004,5
47179003,5
47271019,2
47271009,2
47115005,3
47115008,2
47284002,1
47106001,2
47106002,2
