,GUID,SMALL_AREA,OBJECTID,NUTS2,NUTS2NAME,NUTS3,NUTS3NAME,COUNTY,COUNTYNAME,CSOED,OSIED,EDNAME,SA_PUB2011,GEOGID.x,Clusters
275,4c07d11d-fb6c-851d-e053-ca3ca8c0ca7f,47163002,2361,IE05,Southern,IE053,South-West,CK,Cork County,18315,47163,Goleen,47163002,A047163002,6
276,4c07d11d-fb6d-851d-e053-ca3ca8c0ca7f,047312002/047312005,2362,IE05,Southern,IE053,South-West,CK,Cork County,18319,47312,Toormore,047312002/047312005,A047312002/047312005,1
277,4c07d11d-fb6e-851d-e053-ca3ca8c0ca7f,047241002/047241003/047241004,2363,IE05,Southern,IE053,South-West,CK,Cork County,18317,47241,Lowertown,047241002/047241003/047241004,A047241002/047241003/047241004,2
278,4c07d11d-fb6f-851d-e053-ca3ca8c0ca7f,47068001,2364,IE05,Southern,IE053,South-West,CK,Cork County,18290,47068,Cléire,47068001,A047068001,1
279,4c07d11d-fb70-851d-e053-ca3ca8c0ca7f,047313001/047313004,2365,IE05,Southern,IE053,South-West,CK,Cork County,18307,47313,Tullagh,047313001/047313004,A047313001/047313004,1
385,4c07d11d-fcb2-851d-e053-ca3ca8c0ca7f,47110002,2375,IE05,Southern,IE053,South-West,CK,Cork County,18061,47110,Coolcraheen,47110002,A047110002,1
386,4c07d11d-fcb3-851d-e053-ca3ca8c0ca7f,47013001,2376,IE05,Southern,IE053,South-West,CK,Cork County,18056,47013,Argideen,47013001,A047013001,1
387,4c07d11d-fcb4-851d-e053-ca3ca8c0ca7f,47199001,2377,IE05,Southern,IE053,South-West,CK,Cork County,18064,47199,Kilkerranmore,47199001,A047199001,1
388,4c07d11d-fcb5-851d-e053-ca3ca8c0ca7f,47199002,2378,IE05,Southern,IE053,South-West,CK,Cork County,18064,47199,Kilkerranmore,47199002,A047199002,2
389,4c07d11d-fcb6-851d-e053-ca3ca8c0ca7f,047095007/047095008,2379,IE05,Southern,IE053,South-West,CK,Cork County,18060,47095,Clonakilty Rural,047095007/047095008,A047095007/047095008,5
390,4c07d11d-fcb7-851d-e053-ca3ca8c0ca7f,47309003,2380,IE05,Southern,IE053,South-West,CK,Cork County,18073,47309,Templeomalus,47309003,A047309003,2
391,4c07d11d-fcb8-851d-e053-ca3ca8c0ca7f,47095002,2381,IE05,Southern,IE053,South-West,CK,Cork County,18060,47095,Clonakilty Rural,47095002,A047095002,1
392,4c07d11d-fcb9-851d-e053-ca3ca8c0ca7f,47309001,2382,IE05,Southern,IE053,South-West,CK,Cork County,18073,47309,Templeomalus,47309001,A047309001,2
393,4c07d11d-fcba-851d-e053-ca3ca8c0ca7f,47137002,2383,IE05,Southern,IE053,South-West,CK,Cork County,18298,47137,Dromdaleague South,47137002,A047137002,5
394,4c07d11d-fcbb-851d-e053-ca3ca8c0ca7f,47154002,2384,IE05,Southern,IE053,South-West,CK,Cork County,18299,47154,Garranes,47154002,A047154002,2
395,4c07d11d-fcbc-851d-e053-ca3ca8c0ca7f,47154001,2385,IE05,Southern,IE053,South-West,CK,Cork County,18299,47154,Garranes,47154001,A047154001,1
396,4c07d11d-fcbd-851d-e053-ca3ca8c0ca7f,47134001,2386,IE05,Southern,IE053,South-West,CK,Cork County,18113,47134,Drinagh,47134001,A047134001,1
397,4c07d11d-fcbe-851d-e053-ca3ca8c0ca7f,47146002,2387,IE05,Southern,IE053,South-West,CK,Cork County,18115,47146,Dunmanway South,47146002,A047146002,2
398,4c07d11d-fcbf-851d-e053-ca3ca8c0ca7f,47145001,2388,IE05,Southern,IE053,South-West,CK,Cork County,18114,47145,Dunmanway North,47145001,A047145001,1
399,4c07d11d-fcc0-851d-e053-ca3ca8c0ca7f,47145002,2389,IE05,Southern,IE053,South-West,CK,Cork County,18114,47145,Dunmanway North,47145002,A047145002,2
400,4c07d11d-fcc1-851d-e053-ca3ca8c0ca7f,47017001,2390,IE05,Southern,IE053,South-West,CK,Cork County,18106,47017,Ballingurteen,47017001,A047017001,1
401,4c07d11d-fcc2-851d-e053-ca3ca8c0ca7f,47017002,2391,IE05,Southern,IE053,South-West,CK,Cork County,18106,47017,Ballingurteen,47017002,A047017002,1
425,4c07d11d-fd39-851d-e053-ca3ca8c0ca7f,47033002,2430,IE05,Southern,IE053,South-West,CK,Cork County,18013,47033,Ballymodan,47033002,A047033002,2
426,4c07d11d-fd3a-851d-e053-ca3ca8c0ca7f,47045001,2431,IE05,Southern,IE053,South-West,CK,Cork County,18016,47045,Baurleigh,47045001,A047045001,1
427,4c07d11d-fd3b-851d-e053-ca3ca8c0ca7f,47185002,2432,IE05,Southern,IE053,South-West,CK,Cork County,18023,47185,Kilbrittain,47185002,A047185002,2
428,4c07d11d-fd3c-851d-e053-ca3ca8c0ca7f,47185001,2433,IE05,Southern,IE053,South-West,CK,Cork County,18023,47185,Kilbrittain,47185001,A047185001,1
429,4c07d11d-fd3d-851d-e053-ca3ca8c0ca7f,47230001,2434,IE05,Southern,IE053,South-West,CK,Cork County,18026,47230,Knockroe,47230001,A047230001,4
430,4c07d11d-fd3e-851d-e053-ca3ca8c0ca7f,47015001,2435,IE05,Southern,IE053,South-West,CK,Cork County,18011,47015,Ballinadee,47015001,A047015001,1
431,4c07d11d-fd3f-851d-e053-ca3ca8c0ca7f,47015002,2436,IE05,Southern,IE053,South-West,CK,Cork County,18011,47015,Ballinadee,47015002,A047015002,1
432,4c07d11d-fd40-851d-e053-ca3ca8c0ca7f,47186002,2437,IE05,Southern,IE053,South-West,CK,Cork County,18024,47186,Kilbrogan,47186002,A047186002,2
433,4c07d11d-fd41-851d-e053-ca3ca8c0ca7f,47033001,2438,IE05,Southern,IE053,South-West,CK,Cork County,18013,47033,Ballymodan,47033001,A047033001,2
434,4c07d11d-fd42-851d-e053-ca3ca8c0ca7f,47304003,2439,IE05,Southern,IE053,South-West,CK,Cork County,18031,47304,Templemartin,47304003,A047304003,1
435,4c07d11d-fd43-851d-e053-ca3ca8c0ca7f,47033004,2440,IE05,Southern,IE053,South-West,CK,Cork County,18013,47033,Ballymodan,47033004,A047033004,2
436,4c07d11d-fd44-851d-e053-ca3ca8c0ca7f,47230002,2441,IE05,Southern,IE053,South-West,CK,Cork County,18026,47230,Knockroe,47230002,A047230002,2
437,4c07d11d-fd45-851d-e053-ca3ca8c0ca7f,47177004,2442,IE05,Southern,IE053,South-West,CK,Cork County,18021,47177,Inishannon,47177004,A047177004,2
438,4c07d11d-fd46-851d-e053-ca3ca8c0ca7f,47058002,2443,IE05,Southern,IE053,South-West,CK,Cork County,18019,47058,Brinny,47058002,A047058002,2
439,4c07d11d-fd47-851d-e053-ca3ca8c0ca7f,47177003,2444,IE05,Southern,IE053,South-West,CK,Cork County,18021,47177,Inishannon,47177003,A047177003,1
440,4c07d11d-fd48-851d-e053-ca3ca8c0ca7f,47035003,2445,IE05,Southern,IE053,South-West,CK,Cork County,18014,47035,Ballymurphy,47035003,A047035003,2
441,4c07d11d-fd49-851d-e053-ca3ca8c0ca7f,47018003,2446,IE05,Southern,IE053,South-West,CK,Cork County,18178,47018,Ballinspittle,47018003,A047018003,2
442,4c07d11d-fda5-851d-e053-ca3ca8c0ca7f,47018001,2447,IE05,Southern,IE053,South-West,CK,Cork County,18178,47018,Ballinspittle,47018001,A047018001,1
443,4c07d11d-fda6-851d-e053-ca3ca8c0ca7f,47031001,2448,IE05,Southern,IE053,South-West,CK,Cork County,18181,47031,Ballymackean,47031001,A047031001,1
444,4c07d11d-fda7-851d-e053-ca3ca8c0ca7f,047221005/047221006,2449,IE05,Southern,IE053,South-West,CK,Cork County,18189,47221,Kinsale Rural,047221005/047221006,A047221005/047221006,2
445,4c07d11d-fda8-851d-e053-ca3ca8c0ca7f,47221003,2450,IE05,Southern,IE053,South-West,CK,Cork County,18189,47221,Kinsale Rural,47221003,A047221003,1
